"predictor_type","var1","var2","cramers_v","p_value","n_categories","n_valid_cases","var1_type","var2_type"
"interaction","lifestyle_volunteeringFreq_factor","lifestyle_motorizedActFreq_numeric",0.168812452327426,0.0133846692554351,25,1101,"lifestyle","lifestyle"
"interaction","lifestyle_volunteeringFreq_numeric","lifestyle_motorizedActFreq",0.168812452327426,0.0133846692554351,25,1101,"lifestyle","lifestyle"
"interaction","lifestyle_volunteeringFreq_numeric","lifestyle_motorizedActFreq_factor",0.168812452327426,0.0133846692554351,25,1101,"lifestyle","lifestyle"
"interaction","lifestyle_volunteeringFreq_numeric","lifestyle_motorizedActFreq_numeric",0.168812452327426,0.0133846692554351,25,1101,"lifestyle","lifestyle"
"interaction","ses_dwelling","lifestyle_goHuntingFreq_bin",0.168679266576125,0.000819243210612071,22,1101,"ses","lifestyle"
"interaction","lifestyle_hasTattoos","ses_sexOrientationHetero",0.168367280832527,2.07390065906207e-13,4,1101,"lifestyle","ses"
"interaction","lifestyle_typeTransport","lifestyle_exercise",0.167982824595942,0.00727955197219333,24,1101,"lifestyle","lifestyle"
"interaction","lifestyle_consCoffee","ses_educ_3Cat",0.167478055077958,0.000394314996130169,21,1101,"lifestyle","ses"
"interaction","ses_immigrant","lifestyle_ownPet",0.167446549755131,3.12251859825132e-09,14,1101,"ses","lifestyle"
"interaction","ses_age_4Cat","lifestyle_volunteeringFreq",0.167365936516663,0.00011779037713787,20,1101,"ses","lifestyle"
"interaction","ses_age_4Cat","lifestyle_volunteeringFreq_factor",0.167365936516663,0.00011779037713787,20,1101,"ses","lifestyle"
"interaction","ses_age_4Cat","lifestyle_volunteeringFreq_numeric",0.167365936516663,0.00011779037713787,20,1101,"ses","lifestyle"
"interaction","lifestyle_goHuntingFreq","lifestyle_goMuseumsFreq",0.167003622551682,0.0210371725644819,25,1101,"lifestyle","lifestyle"
"interaction","lifestyle_goHuntingFreq","lifestyle_goMuseumsFreq_factor",0.167003622551682,0.0210371725644819,25,1101,"lifestyle","lifestyle"
"interaction","lifestyle_goHuntingFreq","lifestyle_goMuseumsFreq_numeric",0.167003622551682,0.0210371725644819,25,1101,"lifestyle","lifestyle"
"interaction","lifestyle_goHuntingFreq_factor","lifestyle_goMuseumsFreq",0.167003622551682,0.0210371725644819,25,1101,"lifestyle","lifestyle"
"interaction","lifestyle_goHuntingFreq_factor","lifestyle_goMuseumsFreq_factor",0.167003622551682,0.0210371725644819,25,1101,"lifestyle","lifestyle"
"interaction","lifestyle_goHuntingFreq_factor","lifestyle_goMuseumsFreq_numeric",0.167003622551682,0.0210371725644819,25,1101,"lifestyle","lifestyle"
